"HappyRuikaKyohkan-07.ttf";30;False;False;0;1;1;1
32;1407;563;1;33;10;0
33;503;563;8;33;12;3
34;120;563;13;33;17;2
35;877;497;24;33;27;2
36;691;530;19;33;22;2
37;1420;431;27;33;29;2
38;547;497;25;33;26;2
39;2039;530;8;33;11;2
40;148;563;13;33;15;3
41;1964;530;14;33;15;0
42;273;563;12;33;15;2
43;511;530;19;33;22;2
44;396;563;10;33;11;0
45;1826;530;15;33;18;2
46;512;563;7;33;11;3
47;431;530;19;33;20;1
48;1921;497;21;33;23;1
49;1024;530;18;33;23;3
50;305;530;20;33;23;2
51;1789;497;21;33;23;1
52;1339;497;22;33;23;1
53;1767;497;21;33;23;1
54;284;530;20;33;23;2
55;221;530;20;33;23;2
56;1316;497;22;33;23;1
57;1811;497;21;33;23;1
58;528;563;7;33;12;3
59;407;563;10;33;13;1
60;1286;530;17;33;20;2
61;791;530;19;33;22;2
62;1304;530;17;33;20;2
63;389;530;20;33;22;1
64;1560;431;27;33;29;2
65;495;497;25;33;24;0
66;1477;497;22;33;24;2
67;1172;497;23;33;24;1
68;1965;497;21;33;24;2
69;531;530;19;33;22;2
70;571;530;19;33;21;2
71;1124;497;23;33;25;1
72;1877;497;21;33;25;2
73;1949;530;14;33;16;1
74;410;530;20;33;22;1
75;1268;497;23;33;24;2
76;811;530;19;33;20;2
77;1672;431;27;33;29;2
78;1500;497;22;33;25;2
79;777;497;24;33;25;1
80;1833;497;21;33;23;2
81;952;497;24;33;26;2
82;1196;497;23;33;24;2
83;1943;497;21;33;22;1
84;1408;497;22;33;21;0
85;1855;497;21;33;25;2
86;53;497;25;33;24;0
87;1241;233;30;33;30;0
88;727;497;24;33;23;0
89;977;497;24;33;23;0
90;199;530;21;33;22;1
91;286;563;12;33;15;3
92;1385;497;22;33;23;1
93;325;563;11;33;15;1
94;1340;530;17;33;19;1
95;246;563;13;33;12;0
96;361;563;11;33;12;1
97;891;530;18;33;20;1
98;910;530;18;33;20;2
99;1176;530;18;33;19;1
100;929;530;18;33;20;1
101;671;530;19;33;20;1
102;1698;530;15;33;14;0
103;948;530;18;33;20;1
104;967;530;18;33;20;2
105;440;563;10;33;11;0
106;337;563;11;33;12;0
107;551;530;19;33;20;2
108;451;563;10;33;11;2
109;1027;497;24;33;27;2
110;986;530;18;33;20;2
111;471;530;19;33;20;1
112;1005;530;18;33;20;2
113;1043;530;18;33;20;1
114;1889;530;14;33;15;2
115;1138;530;18;33;19;1
116;1842;530;15;33;15;0
117;1157;530;18;33;20;2
118;347;530;20;33;19;0
119;1914;464;26;33;25;0
120;2009;497;21;33;20;0
121;1987;497;21;33;20;0
122;1322;530;17;33;18;1
123;1919;530;14;33;15;1
124;536;563;6;33;11;3
125;2024;530;14;33;15;1
126;368;530;20;33;21;1
160;0;1;1;33;0;0
180;106;563;13;33;30;9
183;0;1;1;33;0;0
215;1148;497;23;33;30;4
969;1065;464;27;33;30;2
8213;1801;299;29;33;30;1
8217;473;563;9;33;30;1
8220;1630;530;16;33;30;15
8221;1545;530;16;33;30;0
8230;391;332;29;33;30;1
8592;421;332;29;33;30;1
8593;631;530;19;33;30;6
8594;175;431;28;33;30;2
8595;451;530;19;33;30;6
8704;757;464;27;33;30;2
9651;481;332;29;33;30;1
9733;1537;35;31;33;30;0
9834;1899;497;21;33;30;5
9839;1100;497;23;33;30;4
12288;1361;563;1;33;30;0
12289;260;563;12;33;30;1
12290;312;563;12;33;30;1
12293;1752;464;26;33;30;2
12300;2009;530;14;33;30;16
12301;1;563;14;33;30;1
12302;16;563;14;33;30;16
12303;218;563;13;33;30;1
12353;1;497;25;33;30;3
12354;1980;431;27;33;30;2
12355;802;497;24;33;30;4
12356;1868;431;27;33;30;2
12357;235;497;25;33;30;3
12358;1700;431;27;33;30;2
12359;1504;431;27;33;30;2
12360;691;332;29;33;30;1
12361;1833;464;26;33;30;3
12362;204;431;28;33;30;2
12363;721;332;29;33;30;2
12364;1861;167;30;33;30;1
12365;1482;464;26;33;30;3
12366;901;332;29;33;30;2
12367;702;497;24;33;30;3
12368;1588;431;27;33;30;3
12369;1644;431;27;33;30;3
12370;931;332;29;33;30;2
12371;417;497;25;33;30;3
12372;991;332;29;33;30;2
12373;1509;464;26;33;30;3
12374;262;431;28;33;30;3
12375;1536;464;26;33;30;4
12376;1590;464;26;33;30;4
12377;291;431;28;33;30;2
12378;1081;332;29;33;30;2
12379;1171;332;29;33;30;1
12380;1148;167;30;33;30;1
12381;320;431;28;33;30;1
12382;1291;332;29;33;30;2
12383;57;464;27;33;30;2
12384;169;464;27;33;30;2
12385;197;464;27;33;30;2
12386;1351;332;29;33;30;2
12387;2019;464;25;33;30;3
12388;337;464;27;33;30;2
12389;407;431;28;33;30;2
12390;449;464;27;33;30;2
12391;436;431;28;33;30;2
12392;1993;464;25;33;30;3
12393;589;464;27;33;30;3
12394;1501;332;29;33;30;1
12395;1779;464;26;33;30;3
12396;1561;332;29;33;30;1
12397;1711;332;29;33;30;1
12398;785;464;27;33;30;2
12399;610;431;28;33;30;2
12400;1861;332;29;33;30;2
12401;1891;332;29;33;30;2
12402;639;431;28;33;30;2
12403;697;431;28;33;30;2
12404;726;431;28;33;30;2
12405;1981;332;29;33;30;1
12406;32;167;30;33;30;1
12407;1954;134;30;33;30;1
12408;2011;332;29;33;30;1
12409;31;365;29;33;30;1
12410;91;365;29;33;30;1
