"Comic Sans MS";0;True;False;1;0;1;1
32;1;1;6;19;6;0
33;11;37;2;15;3;1
34;231;37;5;9;6;1
35;1;37;9;15;11;1
36;97;1;8;17;9;0
37;242;21;11;15;11;0
38;232;21;9;15;9;0
39;228;37;2;9;6;2
40;73;1;4;19;5;1
41;52;1;4;19;5;0
42;221;37;6;10;7;0
43;181;37;6;14;8;1
44;125;1;2;17;6;1
45;199;37;5;12;8;1
46;229;21;2;15;6;2
47;135;1;6;16;7;0
48;222;21;6;15;8;1
49;215;21;6;15;8;1
50;207;21;7;15;8;0
51;200;21;6;15;8;1
52;192;21;7;15;8;0
53;185;21;6;15;8;1
54;178;21;6;15;8;1
55;170;21;7;15;8;1
56;163;21;6;15;8;1
57;156;21;6;15;8;1
58;173;37;2;14;6;2
59;151;1;3;16;6;1
60;188;37;4;14;8;2
61;193;37;5;14;8;1
62;176;37;4;14;8;3
63;23;37;7;15;7;0
64;162;1;12;16;12;0
65;91;37;8;15;10;1
66;38;37;7;15;8;1
67;164;37;8;15;8;0
68;147;37;7;15;9;1
69;139;37;7;15;8;0
70;132;37;6;15;8;1
71;122;37;9;15;9;0
72;155;37;8;15;10;1
73;108;37;6;15;7;0
74;142;1;8;16;9;0
75;100;37;7;15;8;1
76;115;37;6;15;7;1
77;80;37;10;15;11;0
78;70;37;9;15;11;1
79;59;37;10;15;10;0
80;53;37;5;15;7;1
81;85;1;11;18;11;0
82;140;21;6;15;8;1
83;147;21;8;15;9;0
84;14;37;8;15;9;0
85;131;21;8;15;10;1
86;104;21;9;15;9;0
87;184;1;13;15;14;1
88;234;1;9;15;9;0
89;175;1;8;15;8;0
90;244;1;8;15;9;0
91;33;1;4;19;5;1
92;128;1;6;16;7;1
93;28;1;4;19;5;0
94;237;37;6;7;8;1
95;115;1;9;17;8;0
96;244;37;3;7;7;1
97;198;1;6;15;7;0
98;205;1;6;15;8;1
99;212;1;6;15;7;0
100;219;1;7;15;8;0
101;227;1;6;15;7;0
102;155;1;6;16;7;0
103;57;1;6;19;7;0
104;124;21;6;15;8;1
105;10;21;2;15;4;1
106;8;1;5;19;5;-1
107;117;21;6;15;7;0
108;114;21;2;15;4;1
109;1;21;8;15;10;1
110;97;21;6;15;7;0
111;90;21;6;15;7;0
112;14;1;6;19;7;0
113;21;1;6;19;7;0
114;83;21;6;15;6;0
115;77;21;5;15;6;0
116;70;21;6;15;6;0
117;63;21;6;15;7;0
118;56;21;6;15;6;0
119;47;21;8;15;9;0
120;39;21;7;15;8;0
121;38;1;7;19;7;0
122;32;21;6;15;7;0
123;46;1;5;19;5;0
124;64;1;2;19;5;1
125;67;1;5;19;5;0
126;205;37;7;12;8;0
127;213;37;7;12;8;0
192;49;53;9;15;1;0
193;58;53;9;15;1;0
194;40;53;8;15;0;0
195;30;53;9;15;0;0
199;106;1;8;17;8;1
201;24;21;7;15;8;0
211;13;21;10;15;10;0
224;9;53;6;15;0;0
225;2;52;6;15;0;0
226;24;53;6;15;0;0
227;16;53;7;15;1;0
231;78;1;6;18;7;0
233;46;37;6;15;7;0
234;68;53;6;15;0;0
236;91;53;6;15;0;0
237;83;53;6;15;0;0
243;31;37;6;15;7;0
244;75;53;7;15;1;0
