"JF-Dot-Shinonome14.ttf";28;False;False;0;1;1;1
32;99;695;1;33;14;0
33;85;695;5;33;14;5
34;2036;629;11;33;14;2
35;1588;662;11;33;14;2
36;824;662;13;33;14;0
37;810;662;13;33;14;0
38;796;662;13;33;14;0
39;72;695;6;33;14;4
40;1966;662;9;33;14;4
41;1893;662;10;33;14;2
42;1612;662;11;33;14;2
43;1624;662;11;33;14;2
44;58;695;6;33;14;4
45;1660;662;11;33;14;2
46;65;695;6;33;14;4
47;656;662;13;33;14;0
48;1286;662;13;33;14;0
49;1672;662;11;33;14;2
50;614;662;13;33;14;0
51;600;662;13;33;14;0
52;586;662;13;33;14;0
53;572;662;13;33;14;0
54;558;662;13;33;14;0
55;530;662;13;33;14;0
56;516;662;13;33;14;0
57;502;662;13;33;14;0
58;9;695;6;33;14;4
59;16;695;6;33;14;4
60;1696;662;11;33;14;2
61;1482;662;13;33;14;0
62;1708;662;11;33;14;2
63;418;662;13;33;14;0
64;390;662;13;33;14;0
65;376;662;13;33;14;0
66;362;662;13;33;14;0
67;348;662;13;33;14;0
68;334;662;13;33;14;0
69;320;662;13;33;14;0
70;306;662;13;33;14;0
71;292;662;13;33;14;0
72;278;662;13;33;14;0
73;1995;662;8;33;14;4
74;1538;662;12;33;14;0
75;488;662;13;33;14;0
76;628;662;13;33;14;0
77;684;662;13;33;14;0
78;712;662;13;33;14;0
79;1104;662;13;33;14;0
80;1202;662;13;33;14;0
81;1258;662;13;33;14;0
82;404;662;13;33;14;0
83;642;662;13;33;14;0
84;137;662;15;33;14;0
85;838;662;13;33;14;0
86;866;662;13;33;14;0
87;1732;662;11;33;14;2
88;978;662;13;33;14;0
89;1744;662;11;33;14;2
90;1048;662;13;33;14;0
91;1926;662;9;33;14;4
92;1756;662;11;33;14;2
93;1827;662;10;33;14;2
94;432;662;13;33;14;0
95;446;662;13;33;14;0
96;51;695;6;33;14;4
97;544;662;13;33;14;0
98;670;662;13;33;14;0
99;740;662;13;33;14;0
100;754;662;13;33;14;0
101;880;662;13;33;14;0
102;908;662;13;33;14;0
103;922;662;13;33;14;0
104;950;662;13;33;14;0
105;44;695;6;33;14;4
106;1816;662;10;33;14;2
107;1426;662;13;33;14;0
108;37;695;6;33;14;4
109;1792;662;11;33;14;2
110;1468;662;13;33;14;0
111;1496;662;13;33;14;0
112;1454;662;13;33;14;0
113;1384;662;13;33;14;0
114;1370;662;13;33;14;0
115;1342;662;13;33;14;0
116;1314;662;13;33;14;0
117;1272;662;13;33;14;0
118;1804;662;11;33;14;2
119;1780;662;11;33;14;2
120;1244;662;13;33;14;0
121;1230;662;13;33;14;0
122;1160;662;13;33;14;0
123;1936;662;9;33;14;4
124;91;695;5;33;14;5
125;1838;662;10;33;14;2
126;169;662;15;33;14;0
160;97;695;1;33;14;0
180;1976;662;9;33;28;10
183;23;695;6;33;14;4
